car_make_value,car_type_value,alimentation_value,carosserie_value,puissance_value,id,name,year,details
FIAT,DUCATO,DIES,FGN,7,FI28AVM,MAXI 3.5 XLH2 2.2 H3-POWER 140 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APC,MAXI 3.5 XLH2 2.2 H3-POWER 140 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVO,MAXI 3.5 XLH2 2.2 H3-POWER 140 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AP9,MAXI 3.5 XLH2 2.2 H3-POWER 140 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVL,MAXI 3.5 XLH2 2.2 H3-POWER 140 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APB,MAXI 3.5 XLH2 2.2 H3-POWER 140 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVN,MAXI 3.5 XLH2 2.2 H3-POWER 140 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APE,MAXI 3.5 XLH2 2.2 H3-POWER 160 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVQ,MAXI 3.5 XLH2 2.2 H3-POWER 160 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APD,MAXI 3.5 XLH2 2.2 H3-POWER 160 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVP,MAXI 3.5 XLH2 2.2 H3-POWER 160 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX4,MAXI 3.5 XLH2 2.2 H3-POWER 180,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXI,MAXI 3.5 XLH2 2.2 H3-POWER 180 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28API,MAXI 3.5 XLH2 2.2 H3-POWER 180 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVU,MAXI 3.5 XLH2 2.2 H3-POWER 180 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APK,MAXI 3.5 XLH2 2.2 H3-POWER 180 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVW,MAXI 3.5 XLH2 2.2 H3-POWER 180 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APH,MAXI 3.5 XLH2 2.2 H3-POWER 180 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVT,MAXI 3.5 XLH2 2.2 H3-POWER 180 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APJ,MAXI 3.5 XLH2 2.2 H3-POWER 180 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AVV,MAXI 3.5 XLH2 2.2 H3-POWER 180 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AY7,MAXI 3.5 XLH2 2.2 H3-PW 140 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AY8,MAXI 3.5 XLH2 2.2 H3-PW 180 PK PRO LOUNGE CONNECT,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX5,MAXI 3.5 XLH3 2.2 H3-POWER 140,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXJ,MAXI 3.5 XLH3 2.2 H3-POWER 140 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APU,MAXI 3.5 XLH3 2.2 H3-POWER 140 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AW6,MAXI 3.5 XLH3 2.2 H3-POWER 140 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APW,MAXI 3.5 XLH3 2.2 H3-POWER 140 EVOLUZIONE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AW8,MAXI 3.5 XLH3 2.2 H3-POWER 140 EVOLUZIONE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APT,MAXI 3.5 XLH3 2.2 H3-POWER 140 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AW5,MAXI 3.5 XLH3 2.2 H3-POWER 140 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APV,MAXI 3.5 XLH3 2.2 H3-POWER 140 PRO LOUNGE,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AW7,MAXI 3.5 XLH3 2.2 H3-POWER 140 PRO LOUNGE BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APY,MAXI 3.5 XLH3 2.2 H3-POWER 160 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AWA,MAXI 3.5 XLH3 2.2 H3-POWER 160 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28APX,MAXI 3.5 XLH3 2.2 H3-POWER 160 PACK,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AW9,MAXI 3.5 XLH3 2.2 H3-POWER 160 PACK BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AX6,MAXI 3.5 XLH3 2.2 H3-POWER 180,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXK,MAXI 3.5 XLH3 2.2 H3-POWER 180 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AQ2,MAXI 3.5 XLH3 2.2 H3-POWER 180 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AWE,MAXI 3.5 XLH3 2.2 H3-POWER 180 BUSINESS BA,A partir de 2022,A partir de 2022
